CustomerId,VisitDuration,"VisitFreq 
(1: Every Week, 
2: Every 2 Weeks, 
3: Everey 3 Weeks, 
4: Every 4 Weeks)",MustVisitDays,EligibilityBeginTime (hh:mm),EligibilityEndTime (hh:mm),Country,City,District,AddressText,Latitude,Longitude,region,Priority
2,00:30,4,Sat,08:30,12:00,Turkey,ERZURUM,YAKUTIYE,İSTASYON MAHALLESI11111 İSTASYON CADDESI11111  1,39.913934,41.270719,Eastern Anatolia,2
7,00:30,4,,08:30,18:00,Turkey,ADANA,YUREGIR,19 MAYIS MAHALLESI ÇUKUROVA CADDESI 300,36.980521,35.367678,Mediterranean,4
13,00:30,4,,08:30,18:00,Turkey,KARABUK,SAFRANBOLU,5000 EVLER 75. YIL MH 71. SOKAK 5000 EVLER 75. YIL MH NO:6  6,41.233278,32.66107,Black Sea,6
17,00:30,1,,08:30,18:00,Turkey,MANISA,YUNUSEMRE,75. YIL MAHALLESI BAHRI SARITEPE CADDESI 75. YIL MAHALLESI NO:71/A  71/A,38.6146272369206,27.3817652422926,Aegean,2
18,00:30,1,,08:30,18:00,Turkey,IZMIR,KONAK,Kemeraltı 871. SOKAK Kemeraltı NO:52  52,38.333603,27.133406,Aegean,4
24,00:30,4,,08:30,18:00,Turkey,MERSIN,TOROSLAR,AKBELEN MAHALLESI AKBELEN BULVARI 172,36.831359,34.591038,Mediterranean,5
29,00:30,4,,08:30,18:00,Turkey,CORUM,MERKEZ,KUNDUZHAN MAHALLESI TOPTANCILAR SITESI  6,40.535773,34.921053,Black Sea,6
32,00:30,4,,08:30,18:00,Turkey,GAZIANTEP,SEHITKAMIL,BUDAK MAHALLESI ALI FUAT CEBESOY BULVARI 44,37.073002,37.368371,Southeastern Anatolia,4
33,00:30,4,,08:30,18:00,Turkey,GAZIANTEP,SEHITKAMIL,BUDAK MAHALLESI ALI FUAT CEBESOY BULVARI 40,37.072963,37.366818,Southeastern Anatolia,1
40,00:30,4,,08:30,18:00,Turkey,ESKISEHIR,ODUNPAZARI,ARİFİYE MAH İKI EYLÜL CADDESI 90/A,39.7691159172006,30.5215377459137,Central Anatolia,8
44,00:30,4,,08:30,18:00,Turkey,MUS,MERKEZ,hürriyet mahallesi ATATÜRK BULVARI SUBAY GAZINOSU KARSISI   55,38.740604,41.496265,Eastern Anatolia,5
45,00:30,4,,08:30,18:00,Turkey,ZONGULDAK,DEVREK,İSMET PAŞA MAHALLESI DR. VEYSEL ATASOY CADDESI İSMET PAŞA MAHALLESI NO:8/A  8/A,41.218011,31.954075,Black Sea,8
51,00:30,1,,08:30,18:00,Turkey,MARDIN,KIZILTEPE,TEPEBAŞI MAHALLESI 151. SOKAK  10,37.189424,40.59547,Southeastern Anatolia,2
56,00:30,4,,08:30,18:00,Turkey,EDIRNE,MERKEZ,B.Camı Mah. Inönü Cad. No:66 Kesan / Edırne /Merkez/Edırne ,40.852958,26.631553,Marmara,8
59,00:30,4,,08:30,18:00,Turkey,DIYARBAKIR,BAGLAR,BAĞCILAR MAHALLESI 1101. SOKAK  12,37.92775,40.180216,Southeastern Anatolia,8
61,00:30,1,,08:30,18:00,Turkey,BATMAN,MERKEZ,"BAPLAR MAH BAĞLAR, KIBRIS ŞEHITLERI BLV.  203",37.8938134,41.1226611,Southeastern Anatolia,4
67,00:30,4,,08:30,18:00,Turkey,EDIRNE,MERKEZ,Balık Pazarı Cd.No:55 Edırne /Merkez/Edırne ,41.674116,26.551221,Marmara,9
73,00:30,4,,08:30,18:00,Turkey,ANKARA,MAMAK,BAŞAK MAHALLESI KARAPÜRÇEK CADDESI 10/A,39.966753,32.949325,Central Anatolia,4
82,00:30,4,,08:30,18:00,Turkey,MERSIN,ERDEMLI,AKDENIZ MAHALLESI ALPARSLAN TÜRKEŞ BULVARI 513,36.602887,34.304702,Mediterranean,8
85,00:30,4,,08:30,18:00,Turkey,ADANA,CUKUROVA,BEYAZEVLER MAHALLESI BÜLENT ANGIN BULVARI 8/A,37.031401,35.313907,Mediterranean,3
86,00:30,4,,08:30,18:00,Turkey,TEKIRDAG,MALKARA,Camı Atık Mh.Sehıtlık Cd.No:32 Malkara / Tekırdag /Merkez/Tekırdag ,40.891984,26.903284,Marmara,7
87,00:30,4,,08:30,18:00,Turkey,KASTAMONU,KASTAMONU MERKEZ,CEBRAIL MAHALLESI KIRKÇEŞME CADDESI CEBRAIL MAHALLESI NO:16  16,41.377877,33.779084,Black Sea,8
88,00:30,4,,08:30,18:00,Turkey,ZONGULDAK,ZONGULDAK MERKEZ,MEŞRUTIYET MAHALLESI UZUN MEHMET CADDESI MEŞRUTIYET MAHALLESI NO:15  15,41.45363,31.788514,Black Sea,7
95,00:30,4,,08:30,18:00,Turkey,VAN,TUSBA,Cumhurıyet Mah.No:251 Emnıyet Kant.Karsısı ,38.487185,43.366127,Eastern Anatolia,6
96,00:30,4,,08:30,18:00,Turkey,BITLIS,TATVAN,SAHIL MAHALLESI CUMHURIYET CADDESI  163,38.4955446,42.2863129,Eastern Anatolia,7
97,00:30,1,,08:30,18:00,Turkey,MANISA,SARUHANLI,ATATÜRK MAHALLESI 7 EYLÜL CADDESI ATATÜRK MAHALLESI NO:112  112,38.7340767854302,27.5734249552838,Aegean,9
98,00:30,4,,08:30,18:00,Turkey,MERSIN,TOROSLAR,ÇAĞDAŞKENT MAHALLESI MIMAR SINAN BULVARI 134,36.838632,34.621339,Mediterranean,5
101,00:30,4,,08:30,18:00,Turkey,ESKISEHIR,ODUNPAZARI,ÇANKAYA MAHALLESI HUZURLU SOKAK 11,39.754589,30.53481,Central Anatolia,7
102,00:30,4,,08:30,18:00,Turkey,BARTIN,BARTIN MERKEZ,GÖLBUCAĞI MAHALLESI ESKI HASTANE CADDESI GÖLBUCAĞI MAHALLESI NO:50/A  50/A,41.627731,32.329104,Black Sea,1
111,00:30,4,,08:30,18:00,Turkey,MUS,MERKEZ,MINARE MAHALLESI PTT CADDESI  2,38.732655,41.492441,Eastern Anatolia,9
115,00:30,4,,08:30,18:00,Turkey,DIYARBAKIR,KAYAPINAR,MEZOPOTAMYA MAHALLESI 606. SOKAK  1,37.935672,40.149432,Southeastern Anatolia,5
117,00:30,1,,08:30,18:00,Turkey,BATMAN,MERKEZ,PINARBAŞI MAHALLESI OTOPARK  1,37.896072,41.129741,Southeastern Anatolia,4
119,00:30,4,,08:30,18:00,Turkey,ADANA,SEYHAN,DÖŞEME MAHALLESI DR. ALI MENTEŞOĞLU CADDESI 1,36.990281,35.320858,Mediterranean,8
120,00:30,4,,08:30,18:00,Turkey,KAHRAMANMARAS,DULKADIROGLU,DULKADIROĞLU MAHALLESI TEVFIK KADIOĞLU BULVARI 108/A,37.581069,36.94561,Mediterranean,10
122,00:30,4,,08:30,18:00,Turkey,ERZURUM,PALANDOKEN,MÜFTÜ SOLAKZADE MAHALLESI ALVARLI MEHMET EFENDI CADDESI  12,39.884759,41.264235,Eastern Anatolia,8
124,00:30,4,,08:30,18:00,Turkey,TRABZON,ORTAHISAR,3 NOLU ERDOĞDU MAHALLESI SOĞUKSU CADDESI  247,40.99469,39.706028,Black Sea,10
125,00:30,4,,08:30,18:00,Turkey,ORDU,ALTINORDU,BAHÇELIEVLER MAHALLESI EROL ATAŞAN BULVARI  45299,40.980997,37.897521,Black Sea,7
131,00:30,4,,08:30,18:00,Turkey,KOCAELI,DERINCE,KURUÇEŞME FATIH MAHALLESI BARIŞ CADDESI KURUÇEŞME FATIH MAHALLESI NO:18/A  18/A,40.765046,29.873649,Marmara,5
136,00:30,1,,08:30,18:00,Turkey,MARDIN,KIZILTEPE,İPEK MAHALLESI CEYLANPINAR CADDESI  139/A,37.178497,40.562054,Southeastern Anatolia,3
139,00:30,4,,08:30,18:00,Turkey,MERSIN,AKDENIZ,TURGUTREIS MAHALLESI İSTIKLAL CADDESI 1,36.794072,34.613784,Mediterranean,5
140,00:30,4,,08:30,18:00,Turkey,ANTALYA,ALANYA,GÜLLER PINARI MAHALLESI HACET CADDESI GÜLLER PINARI MAHALLESI NO:48/B  48/B,36.548242,32.006869,Mediterranean,8
144,00:30,4,,08:30,18:00,Turkey,ANKARA,YENIMAHALLE,MACUN MAHALLESI 195. CADDESI 131/37 ,39.946482,32.766533,Central Anatolia,8
152,00:30,4,,08:30,18:00,Turkey,KOCAELI,KORFEZ,GÜNEY MAHALLESI TUĞRUL CADDESI GÜNEY MAHALLESI NO:24/A  24/A,40.75935364,29.78576851,Marmara,10
153,00:30,4,,08:30,18:00,Turkey,GAZIANTEP,SAHINBEY,GÜNEYKENT MAHALLESI 102250. CADDESI 24,37.028305,37.321991,Southeastern Anatolia,9
166,00:30,1,,08:30,18:00,Turkey,BATMAN,MERKEZ,HÜRRIYET MAHALLESI 27. CADDESI  28,37.876204,41.115827,Southeastern Anatolia,3
168,00:30,4,,08:30,18:00,Turkey,BILECIK,BOZUYUK,YENI MAHALLESI İSMET İNÖNÜ CADDESI 116,39.904669,30.046718,Marmara,6
171,00:30,4,,08:30,18:00,Turkey,SANLIURFA,HALILIYE,İMAM BAKIR MAHALLESI RECEP TAYYIP ERDOĞAN BULVARI 148/1,37.16281,38.819203,Southeastern Anatolia,5
175,00:30,1,,08:30,18:00,Turkey,MARDIN,KIZILTEPE,İPEK MAHALLESI ŞEHITLIK CADDESI  75/A,37.180443,40.578413,Southeastern Anatolia,1
182,00:30,4,,08:30,18:00,Turkey,MUS,MERKEZ,YEŞILYURT MAHALLESI İSTASYON CADDESI  20,38.7467384338378,41.5015296936035,Eastern Anatolia,7
183,00:30,4,,08:30,18:00,Turkey,ZONGULDAK,ZONGULDAK MERKEZ,KARAELMAS MAHALLESI İSTASYON CADDESI KARAELMAS MAHALLESI NO:9  9,41.449504,31.792418,Black Sea,3
184,00:30,4,,08:30,18:00,Turkey,KAHRAMANMARAS,DULKADIROGLU,İSTASYON MAHALLESI GAZI MUSTAFA KEMAL BULVARI 59B,37.55047,36.921938,Mediterranean,2
185,00:30,4,,08:30,18:00,Turkey,ZONGULDAK,CAYCUMA,İSTASYON MAHALLESI KENAN AYDIN CADDESI İSTASYON MAHALLESI NO:22/A  22/A,41.423323,32.09407,Black Sea,2
187,00:30,1,,08:30,18:00,Turkey,MANISA,TURGUTLU,İSTIKLAL MAHALLESI CEVDET ÖKTEM CADDESI İSTIKLAL MAHALLESI NO:9  9,38.499702,27.710365,Aegean,2
188,00:30,1,,08:30,18:00,Turkey,IZMIR,TORBALI,İNÖNÜ MAHALLESI İZMIR AYDIN CADDESI İNÖNÜ MAHALLESI NO:29/A  29/A,38.2375683764687,27.282393425703,Aegean,3
195,00:30,4,,08:30,18:00,Turkey,ADANA,KOZAN,KARACAOĞLAN MAHALLESI DEVELI BULVARI 7/A,37.4641352054081,35.8082860429173,Mediterranean,8
201,00:30,4,,08:30,18:00,Turkey,ADANA,YUREGIR,HAYDAROĞLU MAHALLESI KARATAŞ BULVARI 128/A,36.97056,35.340894,Mediterranean,10
203,00:30,4,,08:30,18:00,Turkey,GAZIANTEP,SAHINBEY,KARATAŞ MAHALLESI 103400. CADDESI 1,37.0220146179199,37.3390502929688,Southeastern Anatolia,8
204,00:30,4,,08:30,18:00,Turkey,GAZIANTEP,SAHINBEY,KARATAŞ MAHALLESI 400. CADDESI 13/B,37.017393,37.343186,Southeastern Anatolia,2
207,00:30,4,,08:30,18:00,Turkey,SANLIURFA,KARAKOPRU,MERKEZ MAHALLESI 401. CADDESI 5/B,37.189689,38.802186,Southeastern Anatolia,5
209,00:30,4,,08:30,18:00,Turkey,VAN,IPEKYOLU,BAHÇIVAN MAHALLESI KAZIM KARABEKIR BULVARI  62,38.499678,43.386757,Eastern Anatolia,9
214,00:30,4,,08:30,18:00,Turkey,VAN,ERCIS,KIŞLA MAHALLESI KIŞLA BULVARI  39,39.027459,43.356224,Eastern Anatolia,2
222,00:30,4,,08:30,18:00,Turkey,KAYSERI,MELIKGAZI,KÖŞK MAHALLESI ŞHT. ÜTĞM. MUSTAFA ŞIMŞEK BULVARI  38/B,38.7221328308784,35.5105895921587,Central Anatolia,6
226,00:30,4,,08:30,18:00,Turkey,OSMANIYE,DUZICI,İRFANIYE MAHALLESI ŞHT. AHMET METLIOĞLU CADDESI 275,37.249736,36.45822,Mediterranean,8
228,00:30,4,,08:30,18:00,Turkey,KASTAMONU,KASTAMONU MERKEZ,KUZEYKENT MAHALLESI DEMIRCIOGLU CAD KUZEYKENT MAHALLESI NO:26/a  26/a,41.429354,33.783403,Black Sea,8
230,00:30,4,,08:30,18:00,Turkey,BITLIS,TATVAN,KÜLTÜR MAHALLESI VAN BITLIS YOLU  4,38.5027885437011,42.2809906005859,Eastern Anatolia,3
232,00:30,1,,08:30,18:00,Turkey,BATMAN,MERKEZ,KÜLTÜR MAHALLESI KIBRIS ŞEHITLER BULVARI  78/1,37.902236,41.119211,Southeastern Anatolia,6
233,00:30,4,,08:30,18:00,Turkey,ADANA,YUREGIR,LEVENT MAHALLESI LEVENT CADDESI 151,36.977609,35.382847,Mediterranean,5
237,00:30,4,,08:30,18:00,Turkey,ANKARA,YENIMAHALLE,MACUN MAH 204.CAD 18,39.948553,32.761524,Central Anatolia,6
238,00:30,4,,08:30,18:00,Turkey,ANKARA,YENIMAHALLE,MACUN MAHALLESI BAĞDAT CADDESI 101/1,39.960891,32.767514,Central Anatolia,8
243,00:30,4,,08:30,18:00,Turkey,VAN,IPEKYOLU,VALI MITHAT BEY MAHALLESI İSKELE CADDESI  10,38.504663,43.394973,Eastern Anatolia,1
248,00:30,4,,08:30,18:00,Turkey,MERSIN,TARSUS,ERGENEKON MAHALLESI FATIH SULTAN MEHMET BULVARI 31,36.929476,34.863841,Mediterranean,7
251,00:30,4,,08:30,18:00,Turkey,KOCAELI,GOLCUK,Merkez Mah.Atatürk Cad.No 33 Degırmendere ,40.718614,29.782565,Marmara,2
253,00:30,4,,08:30,18:00,Turkey,DIYARBAKIR,KAYAPINAR,FIRAT MAHALLESI MEZOPOTAMYA BULVARI  1,37.927989,40.133852,Southeastern Anatolia,5
260,00:30,4,,08:30,18:00,Turkey,ZONGULDAK,EREGLI / ZONGULDAK,MÜFTÜ MAHALLESI UZUNKUM CADDESI MÜFTÜ MAHALLESI NO:13  13,41.274386,31.4261,Black Sea,10
267,00:30,4,,08:30,18:00,Turkey,VAN,IPEKYOLU,ŞEREFIYE MAHALLESI ORDU CADDESI  40,38.500058,43.399548,Eastern Anatolia,4
269,00:30,4,,08:30,18:00,Turkey,AFYONKARAHISAR,MERKEZ,AFYONKARAHISAR OSB 4. CADDE 3. SOKAK 2,38.755306,30.546326,Aegean,9
274,00:30,4,,08:30,18:00,Turkey,ERZURUM,YAKUTIYE,KURTULUŞ MAHALLESI TORTUM YOLU CADDESI  194,39.951623,41.293424,Eastern Anatolia,7
277,00:30,4,,08:30,18:00,Turkey,BURDUR,MERKEZ,ÖZGÜR MAHALLESI NAMAZGAH SOKAK ÖZGÜR MAHALLESI NO:4/A  4/A,37.721388,30.28714,Mediterranean,2
278,00:30,4,,08:30,18:00,Turkey,SANLIURFA,HALILIYE,PAŞABAĞI MAHALLESI MEVLANA CADDESI 72,37.158719,38.813151,Southeastern Anatolia,9
